BSLI4	00.000.208/0001-00	BRB-BANCO DE BRASILIA SA
CMSA4	00.272.185/0001-93	CIMS SA
TELB4	00.336.701/0001-04	TELEC. BRASILEIRAS S.A. – TELEBRÁS
BIDI4	00.416.968/0001-01	BANCO INTER S.A.
ENGI4	00.864.214/0001-06	ENERGISA SA
VSPT4	00.924.429/0001-75	FERROVIA CENTRO ATLANTICA SA
FIGE4	01.548.981/0001-79	INVESTIMENTOS BEMGE S.A.
PEAB4	01.938.783/0001-11	CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA
ECPR4	01.971.614/0001-83	EMP.NAC. DE COMÉRCIO, RÉDITO E PART. S.A. – ENCORPAR
GPCP4	02.193.750/0001-52	GPC PARTICIPACOES SA
EMAE4	02.302.101/0001-42	EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A
EKTR4	02.328.280/0001-97	ELEKTRO REDES S.A.
VIVT4	02.558.157/0001-62	TELEFÔNICA BRASIL S.A.
GEPA4	02.998.301/0001-81	RIO PARANAPANEMA ENERGIA SA
TRPL4	02.998.611/0001-04	CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA
DTCY4	03.303.999/0001-36	DTCOM – DIRECT TO COMPANY S.A.
ENMT4	03.467.321/0001-99	ENERGISA MATO GROSSO – DISTRIBUIDORA DE ENERGIA S.A.
BRAP4	03.847.461/0001-92	BRADESPAR S/A
TIET4	04.128.563/0001-10	AES TIETÊ ENERGIA S.A
GOLL4	06.164.253/0001-87	GOL LINHAS AEREAS INTELIGENTES SA
TAEE4	07.859.971/0001-30	TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
ALUP4	08.364.948/0001-38	ALUPAR INVESTIMENTO S/A
CEED4	08.467.115/0001-00	CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA
RNEW4	08.534.605/0001-74	RENOVA ENERGIA S/A
AZUL4	09.305.994/0001-29	AZUL S.A.
BGIP4	13.009.717/0001-46	BANCO DO ESTADO DE SERGIPE SA
ELEK4	13.788.120/0001-47	ELEKEIROZ S/A
CORR4	15.101.405/0001-93	CORREA RIBEIRO SA COM IND
FESA4	15.141.799/0001-03	CIA FERRO LIGAS BAHIA FERBASA
CSAB4	15.144.017/0001-90	CIA SEGUROS ALIANCA BAHIA
CMIG4	17.155.730/0001-64	CIA ENERG MINAS GERAIS – CEMIG
MMAQ4	17.161.241/0001-15	MINASMAQUINAS SA
CRIV4	17.167.412/0001-13	FINANCEIRA ALFA S.A.- C.F.I
BMEB4	17.184.037/0001-10	BANCO MERCANTIL BRASIL SA
CEDO4	17.245.234/0001-00	COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA
CATA4	19.526.748/0001-50	COMPANHIA INDUSTRIAL CATAGUASES
CTSA4	21.255.567/0001-89	CIA TECIDOS SANTANENSE
CTNM4	22.677.520/0001-76	CIA TECIDOS NORTE DE MINAS – COTEMINAS
BEES4	28.127.603/0001-78	BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO
ABCB4	28.195.667/0001-06	BANCO ABC BRASIL S/A
SULA4	29.978.814/0001-87	SUL AMERICA S/A
HAGA4	30.540.991/0001-66	HAGA S.A. INDÚSTRIA E COMÉRCIO
PETR4	33.000.167/0001-01	PETRÓLEO BRASILEIRO S.A. – PETROBRAS
LAME4	33.014.556/0001-96	LOJAS AMERICANAS SA
FCAP4	33.017.039/0001-70	MASSA FALIDA DE SAM INDUSTRIAS SA
MERC4	33.040.601/0001-87	MERCANTIL DO BR FINC SA CFI
TCNO4	33.111.246/0001-90	TECNOSOLO S/A – EM RECUPERAÇÃO JUDICIAL
HOOT4	33.200.049/0001-47	HOTEIS OTHON SA
WLMM4	33.228.024/0001-51	WLM INDÚSTRIA E COMÉRCIO S.A.
TKNO4	33.467.572/0001-34	TEKNO S.A. INDÚSTRIA E COMÉRCIO
GGBR4	33.611.500/0001-19	GERDAU S.A.
BMIN4	34.169.557/0001-72	BANCO MERCANTIL DE INVESTIMENTOS S.A.
PCAR4	47.508.411/0001-56	COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO
BOBR4	50.564.053/0001-03	BOMBRIL SA
EUCA4	56.643.018/0001-66	EUCATEX SA IND E COMERCIO
WHRL4	59.105.999/0001-86	WHIRLPOOL S.A
BPAN4	59.285.411/0001-13	BANCO PAN SA
SLED4	60.500.139/0001-26	SARAIVA SA LIVREIROS EDITORES
JBDU4	60.637.238/0001-54	INDS J B DUARTE SA
MSPA4	60.730.348/0001-66	COMPANHIA MELHORAMENTOS DE SÃO PAULO
BBDC4	60.746.948/0001-12	BANCO BRADESCO S.A.
BRIV4	60.770.336/0001-65	BANCO ALFA DE INVESTIMENTO SA
BDLL4	60.851.615/0001-53	BARDELLA SA INDS MECANICAS
ITUB4	60.872.504/0001-23	ITAÚ UNIBANCO HOLDING S.A.
CALI4	61.022.042/0001-18	CONST ADOLPHO LINDENBERG SA
IDVL4	61.024.352/0001-71	BANCO INDUSVAL S.A.
MGEL4	61.065.298/0001-02	MANGELS INDUSTRIAL S.A.
NAFG4	61.067.161/0001-97	NADIR FIGUEIREDO IND E COM SA
ALPA4	61.079.117/0001-05	ALPARGATAS SA
ESTR4	61.082.004/0001-50	MANUFATURA DE BRINQUEDOS ESTRELA SA
APTI4	61.156.931/0001-78	SIDERURGICA J L ALIPERTI SA
BMGB4	61.186.680/0001-74	BANCO BMG S/A
BALM4	61.374.161/0001-30	BAUMER SA
ITSA4	61.532.644/0001-15	ITAÚSA – INVESTIMENTOS ITAÚ S.A.
PINE4	62.144.175/0001-20	BANCO PINE S/A
SAPR4	76.484.013/0001-45	CIA. DE SANEAMENTO DO PARANÁ – SANEPAR
OIBR4	76.535.764/0001-43	OI S.A. – EM RECUPERAÇÃO JUDICIAL
INEP4	76.627.504/0001-06	INEPAR SA IND E CONSTRUÇÕES – EM RECUPERAÇÃO JUDICIAL
MTIG4	80.227.184/0001-66	METALGRAFICA IGUACU SA
CASN4	82.508.433/0001-17	CIA CAT. DE ÁGUAS E SANEAMENTO – CASAN
TEKA4	82.636.986/0001-55	TEKA TECELAGEM KUEHNRICH SA – EM RECUPERAÇÃO JUDICIAL
CTKA4	82.640.558/0001-04	KARSTEN SA
EALT4	82.643.537/0001-34	ELECTRO AÇO ALTONA S/A
CLSC4	83.878.892/0001-55	CENTRAIS ELETRICAS DE SANTA CATARINA S.A
DOHL4	84.683.408/0001-03	DOHLER S.A.
MWET4	84.683.671/0001-94	WETZEL S.A. EM RECUPERAÇÃO JUDICIAL
SHUL4	84.693.183/0001-68	SCHULZ SA
RSUL4	85.778.074/0001-06	METALURGICA RIOSULENSE SA
MTSA4	86.375.425/0001-09	METISA METALÚRGICA TIMBOENSE SA
JOPA4	87.456.562/0001-22	JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP
POMO4	88.611.835/0001-29	MARCOPOLO SA
PTNT4	88.613.658/0001-10	PETTENATI SA IND TEXTIL
RAPT4	89.086.144/0001-16	RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES
KLBN4	89.637.490/0001-45	KLABIN S.A.
SANB4	90.400.888/0001-42	BANCO SANTANDER (BRASIL) S.A.
RCSL4	91.333.666/0001-17	RECRUSUL SA
CGRA4	92.012.467/0001-70	GRAZZIOTIN SA
LUXM4	92.660.570/0001-26	TREVISA INVESTIMENTOS SA
PNVL4	92.665.611/0001-77	DIMED SA DISTRIBUIDORA DE MEDICAMENTOS
GOAU4	92.690.783/0001-09	METALURGICA GERDAU SA
PATI4	92.693.019/0001-89	PANATLANTICA SA
EEEL4	92.715.812/0001-31	CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA
HETA4	92.749.225/0001-63	HERCULES S/A – FABRICA DE TALHERES
TASA4	92.781.335/0001-02	TAURUS ARMAS S.A.
RANI4	92.791.243/0001-03	CELULOSE IRANI SA
MAPT4	93.828.986/0001-73	CEMEPE INVESTIMENTOS SA
BAUH4	95.426.862/0001-97	EXCELSIOR ALIMENTOS SA.
ODER4	97.191.902/0001-94	CONSERVAS ODERICH SA